n_cells_a	n_cells_b	n_genes_a	n_genes_b	n_cells_common	n_genes_common	raw_all_pearson	raw_all_spearman	raw_all_r2	raw_all_cells_used	raw_all_genes_used	denoised_all_pearson	denoised_all_spearman	denoised_all_r2	denoised_all_cells_used	denoised_all_genes_used	raw_singlet_filtered_pearson	raw_singlet_filtered_spearman	raw_singlet_filtered_r2	raw_singlet_filtered_cells_used	raw_singlet_filtered_genes_used	singlet_filtered_cells	denoised_singlet_filtered_pearson	denoised_singlet_filtered_spearman	denoised_singlet_filtered_r2	denoised_singlet_filtered_cells_used	denoised_singlet_filtered_genes_used	sample_key	path_a	path_b	cells_overlap_pct_a	cells_overlap_pct_b	genes_overlap_pct_a	genes_overlap_pct_b
3957	3957	18104	18104	3957	18104	0.9957074971925097	0.9924342177776349	0.9914334199653718	3957	12635	0.3939585782256103	0.26184370120613976	0.1552033613575443	3957	12635	0.9956177579711568	0.9930026345771276	0.991254719987513	3841	13017	3841	0.3744324824345244	0.2380877501098316	0.14019968390208046	3841	13017	SC2300771/PAX6-PTC-D9-Day7	/mnt/pikachu/JAX_scRNAseq01-12-28-25/SC2300771/counts/PAX6-PTC-D9-Day7/final_counts.h5ad	/mnt/pikachu/JAX_scRNAseq01_2024_star_suite_20260524_080700/release/SC2300771/counts/PAX6-PTC-D9-Day7/final_counts.h5ad	100.0	100.0	100.0	100.0
4748	4748	18104	18104	4748	18104	0.996874900827194	0.9933601692260251	0.9937595678992278	4748	10530	0.8093653709023578	0.6990000759744576	0.6550723036159113	4748	10530	0.9966790367146576	0.9937495196088627	0.9933691022264578	4669	10708	4669	0.7911739983947417	0.6819605606636762	0.6259562957359227	4669	10708	SC2300771/PAX6-PTC-D9-Day8	/mnt/pikachu/JAX_scRNAseq01-12-28-25/SC2300771/counts/PAX6-PTC-D9-Day8/final_counts.h5ad	/mnt/pikachu/JAX_scRNAseq01_2024_star_suite_20260524_080700/release/SC2300771/counts/PAX6-PTC-D9-Day8/final_counts.h5ad	100.0	100.0	100.0	100.0
3980	3980	18104	18104	3980	18104	0.9962494940465091	0.9927504687116765	0.9925130543879254	3980	12562	0.7627099849940938	0.5051890231557599	0.5817265212096908	3980	12562	0.996596859961385	0.9928902655722506	0.9932053012848925	3902	12813	3902	0.7528893877261935	0.5041207039000553	0.5668424301507226	3902	12813	SC2300771/WT-Day-7	/mnt/pikachu/JAX_scRNAseq01-12-28-25/SC2300771/counts/WT-Day-7/final_counts.h5ad	/mnt/pikachu/JAX_scRNAseq01_2024_star_suite_20260524_080700/release/SC2300771/counts/WT-Day-7/final_counts.h5ad	100.0	100.0	100.0	100.0
4814	4814	18104	18104	4814	18104	0.9956620520702932	0.9936690658516438	0.9913429219328274	4814	10386	0.5697833351382863	0.4515547959359693	0.32465304900130865	4814	10386	0.9971118113012679	0.9930528703013687	0.9942319642364953	4765	10493	4765	0.5420232574721687	0.44469050907858765	0.2937892116407409	4765	10493	SC2300771/WT-Day-8	/mnt/pikachu/JAX_scRNAseq01-12-28-25/SC2300771/counts/WT-Day-8/final_counts.h5ad	/mnt/pikachu/JAX_scRNAseq01_2024_star_suite_20260524_080700/release/SC2300771/counts/WT-Day-8/final_counts.h5ad	100.0	100.0	100.0	100.0
4278	4278	18104	18104	4278	18104	0.9860213950250366	0.9927274354371048	0.9722381914471193	4278	11687	0.06745760661500373	0.03914001683639649	0.004550528690224595	4278	11687	0.9871875352185084	0.992841549281983	0.9745392296907939	4163	12010	4163	0.06630230765421898	0.04040071971282842	0.004395996000274704	4163	12010	SC2300772/PAX6_PTC_D9_Day9	/mnt/pikachu/JAX_scRNAseq01-12-28-25/SC2300772/counts/PAX6_PTC_D9_Day9/final_counts.h5ad	/mnt/pikachu/JAX_scRNAseq01_2024_star_suite_20260524_080700/release/SC2300772/counts/PAX6_PTC_D9_Day9/final_counts.h5ad	100.0	100.0	100.0	100.0
4676	4676	18104	18104	4676	18104	0.9888802006536593	0.9929468308203184	0.9778840512448216	4676	10692	0.39861942284377205	0.2796774255035877	0.15889744426830194	4676	10692	0.98755300771977	0.9926218832120295	0.975260943056364	4592	10888	4592	0.420796064035124	0.2684243466358725	0.17706932750745216	4592	10888	SC2300772/WT_Day_9	/mnt/pikachu/JAX_scRNAseq01-12-28-25/SC2300772/counts/WT_Day_9/final_counts.h5ad	/mnt/pikachu/JAX_scRNAseq01_2024_star_suite_20260524_080700/release/SC2300772/counts/WT_Day_9/final_counts.h5ad	100.0	100.0	100.0	100.0
