sample	role	relative_path	source_path	size_bytes	status
ES	feature_assignment_qc	ES/run/cr_assign/CRISPR_Guide_Capture/grna_es/whitelist.normalized.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/CRISPR_Guide_Capture/grna_es/whitelist.normalized.txt	62668800	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/barcodes.txt	4766120	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/deduped_counts_histograms.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/deduped_counts_histograms.txt	552815	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/feature_sequences.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/feature_sequences.txt	10643890	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/features.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/features.txt	2102706	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/filtered/barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/filtered/barcodes.txt	563856	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/filtered/features.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/filtered/features.txt	2102706	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/filtered/stats.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/filtered/stats.txt	832	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/filtered_barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/filtered_barcodes.txt	447168	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/LARRY/stats.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/LARRY/stats.txt	828	present
ES	feature_assignment_qc	ES/run/cr_assign/Custom/larry_es/assignBarcodes.api_run.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/cr_assign/Custom/larry_es/assignBarcodes.api_run.txt	2940	present
ES	crispr_calls	ES/run/outs/crispr_analysis/protospacer_calls_per_cell.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/outs/crispr_analysis/protospacer_calls_per_cell.csv	1023180	present
ES	crispr_calls	ES/run/outs/crispr_analysis/protospacer_calls_summary.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/outs/crispr_analysis/protospacer_calls_summary.csv	643	present
ES	crispr_calls	ES/run/outs/crispr_analysis/protospacer_umi_thresholds.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/outs/crispr_analysis/protospacer_umi_thresholds.csv	282	present
ES	crispr_calls	ES/run/outs/crispr_analysis/protospacer_umi_thresholds.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/run/outs/crispr_analysis/protospacer_umi_thresholds.json	499	present
ES	primary_h5ad	ES/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad	3065386064	present
ES	primary_h5ad	ES/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	2621129656	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/summary.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/summary.txt	21274	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/final_counts.summary.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/final_counts.summary.txt	21274	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	397	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3841503	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	184982	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	1550681	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	109193	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt	631484	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/scimilarity_annotation.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/scimilarity_annotation.log	1670	present
ES	downstream_qc	ES/downstream_genefull_velocyto_cellbender/remote_cellbender_20260514_023155.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/remote_cellbender_20260514_023155.log	35503	present
ES	cellbender_qc	ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv	586	present
ES	cellbender_qc	ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	642599	present
