dataset	sample	relative_path	bytes	source	source_mtime_utc	destination
JAX scRNAseq02	EPAS1-Day-5	EPAS1-Day-5/downstream_genefull_velocyto_cellbender/final_counts.h5ad	801365014	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/EPAS1-Day-5/downstream_genefull_velocyto_cellbender_remote/final_counts.h5ad	2026-05-22T17:57:27Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/EPAS1-Day-5/downstream_genefull_velocyto_cellbender/final_counts.h5ad
JAX scRNAseq02	EPAS1-Day-5	EPAS1-Day-5/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3669454	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/EPAS1-Day-5/downstream_genefull_velocyto_cellbender_remote/gene_quantile_histogram.html	2026-05-22T17:20:21Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/EPAS1-Day-5/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html
JAX scRNAseq02	EPAS1-Day-5	EPAS1-Day-5/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	203062	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/EPAS1-Day-5/downstream_genefull_velocyto_cellbender_remote/gene_quantile_histogram.png	2026-05-22T17:20:22Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/EPAS1-Day-5/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png
JAX scRNAseq02	EPAS1-Day-5	EPAS1-Day-5/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt	57855	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/EPAS1-Day-5/downstream_genefull_velocyto_cellbender_remote/non_empty_barcodes.txt	2026-05-22T17:19:29Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/EPAS1-Day-5/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt
JAX scRNAseq02	EPAS1-Day-5	EPAS1-Day-5/downstream_genefull_velocyto_cellbender/summary.txt	13342	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/EPAS1-Day-5/downstream_genefull_velocyto_cellbender_remote/summary.txt	2026-05-22T17:57:29Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/EPAS1-Day-5/downstream_genefull_velocyto_cellbender/summary.txt
JAX scRNAseq02	EPAS1-Day-5	EPAS1-Day-5/downstream_genefull_velocyto_cellbender/unfiltered_counts.h5ad	801365014	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/EPAS1-Day-5/downstream_genefull_velocyto_cellbender_remote/unfiltered_counts.h5ad	2026-05-22T17:57:21Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/EPAS1-Day-5/downstream_genefull_velocyto_cellbender/unfiltered_counts.h5ad
JAX scRNAseq02	ISL1-Day-5	ISL1-Day-5/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	1027	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/ISL1-Day-5/downstream_genefull_velocyto_cellbender_remote/adaptive_qc_threshold.json	2026-05-22T16:45:58Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/ISL1-Day-5/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json
JAX scRNAseq02	ISL1-Day-5	ISL1-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log	33502	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/ISL1-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.log	2026-05-22T17:17:55Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/ISL1-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log
JAX scRNAseq02	ISL1-Day-5	ISL1-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	61595	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/ISL1-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.pdf	2026-05-22T17:12:11Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/ISL1-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf
JAX scRNAseq02	ISL1-Day-5	ISL1-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	575586	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/ISL1-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_cell_barcodes.csv	2026-05-22T17:12:11Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/ISL1-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv
