sample_relpath	file_count	size_bytes
SMARCA1/24h/ATAC-SMARCA1-24h-1	12	670693630
SMARCA1/24h/ATAC-SMARCA1-24h-2	12	942933671
SMARCA1/6h/ATAC-SMARCA1-6h-1	12	741466446
SMARCA1/6h/ATAC-SMARCA1-6h-2	12	778009336
SMARCA4/0h/ATAC-SMARCA4-0h-1	12	1393680134
SMARCA4/0h/ATAC-SMARCA4-0h-2	12	940241366
SMARCA4/24h/ATAC-SMARCA4-24h-1	12	1003933019
SMARCA4/24h/ATAC-SMARCA4-24h-2	12	1199969534
SMARCA4/6h/ATAC-SMARCA4-6h-1	12	1233116250
SMARCA4/6h/ATAC-SMARCA4-6h-2	12	786520263
SMARCA5/0h/ATAC-SMARCA5-0h-1	12	804929252
SMARCA5/0h/ATAC-SMARCA5-0h-2	12	1024559509
SMARCA5/24h/ATAC-SMARCA5-24h-1	12	2273202688
SMARCA5/24h/ATAC-SMARCA5-24h-2	12	2518830143
SMARCA5/6h/ATAC-SMARCA5-6h-1	12	1631988315
SMARCA5/6h/ATAC-SMARCA5-6h-2	12	1301925851
SMARCB1/0h/ATAC-SMARCB1-0h-1	12	1187896563
SMARCB1/0h/ATAC-SMARCB1-0h-2	12	1272055121
SMARCB1/24h/ATAC-SMARCB1-24h-1	12	2045207938
SMARCB1/24h/ATAC-SMARCB1-24h-2	12	990954742
SMARCB1/6h/ATAC-SMARCB1-6h-1	12	1465489531
SMARCB1/6h/ATAC-SMARCB1-6h-2	12	1309910600
SMARCC1/0h/ATAC-SMARCC1-0h-1	12	1314083022
SMARCC1/0h/ATAC-SMARCC1-0h-2	12	1396800733
SMARCC1/24h/ATAC-SMARCC1-24h-1	12	859769722
SMARCC1/24h/ATAC-SMARCC1-24h-2	12	1176573760
SMARCC1/6h/ATAC-SMARCC1-6h-1	12	1358784813
SMARCC1/6h/ATAC-SMARCC1-6h-2	12	1136892265
SMARCD1/0h/ATAC-SMARCD1-0h-1	12	1651329634
SMARCD1/0h/ATAC-SMARCD1-0h-2	12	1663973680
SMARCD1/24h/ATAC-SMARCD1-24h-1	12	1674727624
SMARCD1/24h/ATAC-SMARCD1-24h-2	12	1326782550
SMARCD1/6h/ATAC-SMARCD1-6h-1	12	1141847772
SMARCD1/6h/ATAC-SMARCD1-6h-2	12	1561212580
SSU72/0h/ATAC-SSU72-0h-1	12	4722078385
SSU72/0h/ATAC-SSU72-0h-2	12	800432317
SSU72/24h/ATAC-SSU72-24h-1	12	602782978
SSU72/24h/ATAC-SSU72-24h-2	12	542049980
SSU72/6h/ATAC-SSU72-6h-1	12	531125899
SSU72/6h/ATAC-SSU72-6h-2	12	429129429
TFDP1/0h/ATAC-TFDP1-0h-1	12	822936134
TFDP1/0h/ATAC-TFDP1-0h-2	12	335195238
