source	path	commit	sha256	note
STAR-suite	scripts/run_msk_40ko_pipeline_from_manifest.py	d55a1a7d27c85df0f780a0e50039392e83a31260	2bca8091c581048581402e86f53a916f29d9fa5c8aa2e09a97d15c6a996557b5	first committed STAR-suite copy after the 2026-05-21 launch
STAR-suite	scripts/run_msk_40ko_pipeline_from_manifest.py	d70a03e407f45b743efa60c7d032d6d2e1a80123	581fb1335c89a546ae491f3caeb77e562f42fe9ffdeac7be9d3b7e9e56ffca2a	delegating compatibility shim used by current master
morphic-recipes	scripts/run_msk_40ko_pipeline_from_manifest.py	682f55493e9342aaed425dd89fb87b0148e8c258	2bca8091c581048581402e86f53a916f29d9fa5c8aa2e09a97d15c6a996557b5	initial recipe mirror; content matches first committed STAR-suite production launcher
morphic-recipes	scripts/run_msk_40ko_pipeline_from_manifest.py	0ddf47e	50136e76ef034b47c99c779f22899e796985331d5d53c7cffb10f88d63ff4728	current recipes copy adjusted for external STAR-suite core
STAR-suite	docs/MSK_40KO_FASTQ_MANIFEST.tsv	d55a1a7d27c85df0f780a0e50039392e83a31260	003b42923e03b16d226bbec86b30856e23ea8ef62d07eefbbc92dab6d47b7e24	manifest copy preserved in inputs/
STAR-suite	docs/RUNBOOK_MSK_40KO_PRODUCTION.md	d55a1a7d27c85df0f780a0e50039392e83a31260	038387fb6b2e4f066027d9f78a0546e69092c402ef6436b9e6bdc4277f4912ca	runbook copy preserved in inputs/
