task_id	status	request_time	completion_time	sample	role	relative_path	source_path	destination_path	bytes	sha256	globus_sha1	globus_checksum_algorithm
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	documentation	STAGED_MANIFEST.tsv	/mnt/pikachu/MSK_40_KO_revised/STAGED_MANIFEST.tsv	/MSK-40KO-revised/STAGED_MANIFEST.tsv	3943	85f4fa71e07bc0298df4236adfc713f060adfed25631215a1bdcce3d7ab9dbf1	a17566ba5012d46476cfd9127d1bd56e00e73ec7	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	analysis	analysis/provider_rf_celltyping_provenance.json	/mnt/pikachu/MSK_40_KO_revised/analysis/provider_rf_celltyping_provenance.json	/MSK-40KO-revised/analysis/provider_rf_celltyping_provenance.json	2886	537f421586fd6f6e9197fb5c2505714a562e1e411c576d5191afe1b658fe1709	62d97346869e174887db6438cd91f19f6bf79b77	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	analysis	analysis/rf_prediction_label_counts.tsv	/mnt/pikachu/MSK_40_KO_revised/analysis/rf_prediction_label_counts.tsv	/MSK-40KO-revised/analysis/rf_prediction_label_counts.tsv	2593	3812988cfbee92cb480418bb6916f42cf8b1253e5e4f38fc0954827c5632bf37	d1af678badf87719f72a52a0b3d47d94e9a4e423	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	documentation	documentation/MSK_40KO_FASTQ_MANIFEST.tsv	/mnt/pikachu/MSK_40_KO_revised/documentation/MSK_40KO_FASTQ_MANIFEST.tsv	/MSK-40KO-revised/documentation/MSK_40KO_FASTQ_MANIFEST.tsv	2834	003b42923e03b16d226bbec86b30856e23ea8ef62d07eefbbc92dab6d47b7e24	e834766a6439f89fb8e3d76e520439a3d315ae3b	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	documentation	documentation/RUNBOOK_MSK_40KO_PRODUCTION.md	/mnt/pikachu/MSK_40_KO_revised/documentation/RUNBOOK_MSK_40KO_PRODUCTION.md	/MSK-40KO-revised/documentation/RUNBOOK_MSK_40KO_PRODUCTION.md	5301	038387fb6b2e4f066027d9f78a0546e69092c402ef6436b9e6bdc4277f4912ca	ff1c090767775e65ccb2d7f60ef202e03b8fb8e7	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	transfer_metadata	globus_transfer_submit.json	/mnt/pikachu/MSK_40_KO_revised/globus_transfer_submit.json	/MSK-40KO-revised/globus_transfer_submit.json	517		eb000624fdbdfe842255406ce2c08a06de43f50c	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	transfer_metadata	globus_transfer_task_id.txt	/mnt/pikachu/MSK_40_KO_revised/globus_transfer_task_id.txt	/MSK-40KO-revised/globus_transfer_task_id.txt	37		4aa5dbdf820ff6041d56330466a2766fd673be04	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	documentation	provenance.md	/mnt/pikachu/MSK_40_KO_revised/provenance.md	/MSK-40KO-revised/provenance.md	1174	17edbec384b3f86eeca0d90127afaf09ddebaf3c6a8a31d3633d78dc3e260bb6	88c477211c87ae77dbef6639a20ceed3c08a4e1d	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	provenance	provenance/production_launch.argv.json	/mnt/pikachu/MSK_40_KO_revised/provenance/production_launch.argv.json	/MSK-40KO-revised/provenance/production_launch.argv.json	841	a398b041ed3b0c0800ab1300512855d4455569ed5f3823a407374ef8460b9291	f25e410c10aedb4592b7299f9fd19fbb3ec30d24	SHA1
46b34ad4-5ac3-11f1-8e36-0affd989f133	SUCCEEDED	2026-05-28T18:30:18+00:00	2026-05-28T19:12:23+00:00	PROJECT	provenance	provenance/run.json	/mnt/pikachu/MSK_40_KO_revised/provenance/run.json	/MSK-40KO-revised/provenance/run.json	4425	062c22a2b55975825f74738dc76b755e29d4a373b965091c59277ce2e9b05e02	5c9ab865b74282d270b5b1622307045287c35074	SHA1
