dataset	sample	feature_modality	relative_path	bytes	sha256	source_path	local_target_path	globus_destination	source_note
MSK_30KO	30_KO_S5_1	gene	processed/30_KO_S5_1/features/gene/features.h5ad	28118706	f389624bf4ee2377830491683d96e0733e5aa6d0f8b59ef80f143980a7a4fb91	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_1/downstream_genefull_velocyto_cellbender/feature_libraries/grna_s5_1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_1/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_1/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S5_1	larry	processed/30_KO_S5_1/features/larry/features.h5ad	43891504	83223bff0ec98611f70f48b46553516163caad044cc2f2a43ec29d0310a7b90d	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_1/downstream_genefull_velocyto_cellbender/feature_libraries/larry_s5_1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_1/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_1/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S5_2	gene	processed/30_KO_S5_2/features/gene/features.h5ad	28175849	dbb9016966a393ab3b102a104740dc05ef6d500d7694b1c7b87c0f4f40a5a35d	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_2/downstream_genefull_velocyto_cellbender/feature_libraries/grna_s5_2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_2/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_2/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S5_2	larry	processed/30_KO_S5_2/features/larry/features.h5ad	44793076	a3b602875e36fc6b293f4a7a4a94e97e679c4e0935c3aa4ce57fd5329b9b0f34	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S5_2/downstream_genefull_velocyto_cellbender/feature_libraries/larry_s5_2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S5_2/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S5_2/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S6_1	gene	processed/30_KO_S6_1/features/gene/features.h5ad	19172185	5b9a0e61d40a000226973ac677ff1ccac35fc69dd88be2dbdde6bf4362a9f1b9	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S6_1/downstream_genefull_velocyto_cellbender/feature_libraries/grna_s6_1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S6_1/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S6_1/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S6_1	larry	processed/30_KO_S6_1/features/larry/features.h5ad	26804784	65ff29812e842463de0e0bd682295a1751a5642df13f8274f9c29b49f348045c	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S6_1/downstream_genefull_velocyto_cellbender/feature_libraries/larry_s6_1/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S6_1/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S6_1/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S6_2	gene	processed/30_KO_S6_2/features/gene/features.h5ad	18132472	f88e3d856722081c3e9f451209007c2ae2eaae3ac83e1cff7f789222ee5e0ad6	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S6_2/downstream_genefull_velocyto_cellbender/feature_libraries/grna_s6_2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S6_2/features/gene/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S6_2/features/gene/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_S6_2	larry	processed/30_KO_S6_2/features/larry/features.h5ad	25525652	c7f99635cf4d97806f8cbb09afa8c4623311247f8124c05ea1f5e331bb670f06	/mnt/pikachu/msk30ko-h5ad-qc-delivery/MSK-05-13-26-large-files/S6_2/downstream_genefull_velocyto_cellbender/feature_libraries/larry_s6_2/raw_feature_library.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_S6_2/features/larry/features.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_S6_2/features/larry/features.h5ad	msk30ko_qc_delivery_raw_feature_library
MSK_30KO	30_KO_DE_XM	counts	processed/30_KO_DE_XM/counts.h5ad	11403574952	f7429686d790805628ad9d93b2967259d1b671a796c1974832ad52881977d7f7	/mnt/pikachu/release_checks/msk30ko_de_xm_repair_20260706/processed/30_KO_DE_XM/counts.h5ad	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE_XM/counts.h5ad	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE_XM/counts.h5ad	prior_de_xm_nxt_tru_repair_packet_consolidated_20260706
MSK_30KO	30_KO_DE_XM	counts_qc	processed/30_KO_DE_XM/QC/counts/gene_quantile_histogram.html	4853323	b407fc61b2681313f7554f3767c43f30f1a064fff3e1a314962beebaa385fb24	globus:/MSK-KO-5-18-26-revised/corrected_release/processed/30_KO_DE_XM/QC/counts/gene_quantile_histogram.html	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE_XM/QC/counts/gene_quantile_histogram.html	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE_XM/QC/counts/gene_quantile_histogram.html	prior_de_xm_counts_qc_consolidated_20260706
MSK_30KO	30_KO_DE_XM	counts_qc	processed/30_KO_DE_XM/QC/counts/gene_quantile_histogram.png	191287	bf572a136be4168f0376167480cbe238cc0a94d9bd77af42dbfabc7a134a19c9	globus:/MSK-KO-5-18-26-revised/corrected_release/processed/30_KO_DE_XM/QC/counts/gene_quantile_histogram.png	/mnt/pikachu/MSK_30_KO_revised/30_KO_DE_XM/QC/counts/gene_quantile_histogram.png	/MSK-feature-h5ad-top-feature-repair-20260706/processed/30_KO_DE_XM/QC/counts/gene_quantile_histogram.png	prior_de_xm_counts_qc_consolidated_20260706
