dataset	sample	relative_path	bytes	source	source_mtime_utc	destination
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/final_counts.h5ad	1123357494	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/final_counts.h5ad	2026-05-21T07:28:28Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/final_counts.h5ad
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3744414	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/gene_quantile_histogram.html	2026-05-21T06:50:03Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	166845	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/gene_quantile_histogram.png	2026-05-21T06:50:04Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt	271054	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/non_empty_barcodes.txt	2026-05-21T06:46:08Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/summary.txt	11461	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/summary.txt	2026-05-21T07:28:30Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/summary.txt
JAX scRNAseq02	GCM1-Day-4	GCM1-Day-4/downstream_genefull_velocyto_cellbender/unfiltered_counts.h5ad	1123357494	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GCM1-Day-4/downstream_genefull_velocyto_cellbender_remote/unfiltered_counts.h5ad	2026-05-21T07:28:22Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GCM1-Day-4/downstream_genefull_velocyto_cellbender/unfiltered_counts.h5ad
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	1045	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/adaptive_qc_threshold.json	2026-05-21T07:30:57Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log	21434	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.log	2026-05-21T07:41:02Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	78821	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.pdf	2026-05-21T07:37:00Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	68533	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_cell_barcodes.csv	2026-05-21T07:37:00Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv	585	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_metrics.csv	2026-05-21T07:40:51Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html	1031268	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_report.html	2026-05-21T07:41:02Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/counts.h5ad	683947318	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/counts.h5ad	2026-05-21T07:41:06Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/counts.h5ad
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	390123730	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/default_singlet_filtered_counts.h5ad	2026-05-21T07:41:15Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	5358	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/doublet_barcodes.txt	2026-05-21T07:30:09Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	178860	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/filtered_barcodes_with_scores.txt	2026-05-21T07:30:09Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad	434147784	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/filtered_counts.h5ad	2026-05-21T07:41:13Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/final_counts.h5ad	728201398	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/final_counts.h5ad	2026-05-21T07:41:16Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/final_counts.h5ad
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3675567	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/gene_quantile_histogram.html	2026-05-21T07:30:59Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	200855	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/gene_quantile_histogram.png	2026-05-21T07:30:59Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png
